DoctorID,DoctorName,DepartmentID,Experience
135,Dr. David Burnett,4,5
136,Dr. James Freeman,14,31
137,Dr. Justin Mcclure,14,32
138,Dr. Kathleen Nguyen,16,29
139,Dr. Michael Smith,1,20
140,Dr. Eric Powers,19,28
141,Dr. Paul Harvey,6,2
142,Dr. Latoya Davis,6,33
143,Dr. James Johnson,12,8
144,Dr. Kendra Richard,19,13
145,Dr. Brian Lane,18,28
146,Dr. Herbert Brennan,9,4
147,Dr. Joel Raymond,15,22
148,Dr. Kayla Bauer,5,25
149,Dr. Cole Wood,12,24
150,Dr. Cindy Cox,15,1
151,Dr. Scott Andrews,10,26
152,Dr. Paula Fischer,6,10
153,Dr. Michael Mills,14,24
154,Dr. Scott Evans,7,32
155,Dr. Angela Russell,5,17
156,Dr. Daniel Anderson,8,17
157,Dr. Cameron Barker,16,20
158,Dr. James Webb,1,21
159,Dr. Andrew Campbell,16,18
160,Dr. Sophia Horton,2,20
161,Dr. Robin Sandoval,11,3
162,Dr. Kelly Perry,14,26
163,Dr. Tara Henry,8,27
164,Dr. Gloria Castillo,10,13
165,Dr. Michael Park,9,5
166,Dr. Andrew Reynolds,2,32
167,Dr. Garrett Gonzalez,2,7
168,Dr. Katelyn Ramirez,6,6
169,Dr. Scott Duncan,16,28
170,Dr. Roger Henderson,19,30
171,Dr. Brett Ryan,18,3
172,Dr. Jillian Turner,14,7
173,Dr. Erica Patton,10,20
174,Dr. Jeffrey Daniels,10,16
175,Dr. Sarah Costa,15,7
176,Dr. Jennifer King,4,35
177,Dr. Jonathan Adams,9,20
178,Dr. Samantha Coleman,13,13
179,Dr. Stephanie Baldwin,1,14
180,Dr. Nathan Reynolds,8,24
181,Dr. Lisa Allen,11,6
182,Dr. Karen Jones,4,29
183,Dr. Katherine Moreno,11,3
184,Dr. Brittany Wright,13,19
185,Dr. Sergio Holmes,15,13
186,Dr. Christopher Fuller,20,13
187,Dr. Mary Morrison,8,13
188,Dr. Karen Lozano,7,3
189,Dr. Megan Brown,1,7
190,Dr. Jennifer Benton,20,5
191,Dr. Nicole James,5,3
192,Dr. James Mcclure,19,27
193,Dr. Virginia Hernandez,17,33
194,Dr. Kevin Foster,17,3
195,Dr. Jessica Johnson,9,22
196,Dr. Ashley Glenn,7,34
197,Dr. Tami Robinson,18,22
198,Dr. Michelle Wiley,3,32
199,Dr. Cody Young,8,6
200,Dr. Rebecca Cummings,3,26
201,Dr. Kimberly Hernandez,3,7
202,Dr. Carrie Miranda,4,33
203,Dr. Brenda Robertson,3,10
204,Dr. Alan Jones,15,25
205,Dr. Maria Brown,8,34
206,Dr. Arthur Gutierrez,11,12
207,Dr. Jennifer Lyons,15,5
208,Dr. Jill Duffy,1,12
209,Dr. Mary Clark,17,23
210,Dr. Douglas Rollins,4,14
211,Dr. James Marshall,12,22
212,Dr. Joseph Myers,9,11
213,Dr. Blake Tran,15,6
214,Dr. Michael Fox,7,35
215,Dr. Brittany Mills,13,27
216,Dr. Caitlin Peterson,15,28
217,Dr. Keith Mcintyre,2,3
218,Dr. Courtney Schneider,7,30
219,Dr. Mrs. Jessica Johnson,8,14
220,Dr. Candice Fleming,15,32
221,Dr. Jeremy Olsen,6,24
222,Dr. Jennifer Lam,18,31
223,Dr. Michael Stafford,11,4
224,Dr. Samantha Cantrell,5,2
225,Dr. Shelby Foster,5,25
226,Dr. Michael King,10,3
227,Dr. Jennifer King PhD,1,33
228,Dr. Sarah Conrad,9,18
229,Dr. Eileen Miller,11,34
230,Dr. Brittany Scott,17,18
231,Dr. Mary Parker,16,28
232,Dr. Jennifer Jackson,1,12
233,Dr. Kimberly Stewart,20,5
234,Dr. Sara Craig,2,15
235,Dr. Jonathon Rubio,14,26
236,Dr. William Smith,12,1
237,Dr. Beth Kennedy,2,27
238,Dr. Sheila Parsons,15,7
239,Dr. Donna Lee,17,6
240,Dr. Raymond Woods,18,2
241,Dr. Anthony Perez,18,23
242,Dr. Dr. Angela Garcia PhD,14,1
243,Dr. Eric Schwartz,19,7
244,Dr. David Mitchell,15,13
245,Dr. Ashley Dominguez,4,26
246,Dr. Dustin Collins,8,26
247,Dr. Candice Jennings,2,34
248,Dr. Jeffrey Nelson,9,23
249,Dr. Shawn Arnold,15,17
250,Dr. Timothy Rollins,16,25
